Transaction ID,Transaction
Trans1,"Router, Ethernet Cable, Monitor"
Trans2,"Router, Computer, Phone"
Trans3,"Router, Phone, Monitor, 3D Printer"
Trans4,"Charger, 3D Printer, Computer, Ethernet Cable, Router, Monitor"
Trans5,"Router, Xbox, Computer, 3D Printer, PS5"
Trans6,"Monitor, Phone, PS5"
Trans7,"Phone, Computer, TV"
Trans8,"Charger, Router, Computer, 3D Printer, Phone"
Trans9,"Phone, 3D Printer, Charger, Monitor"
Trans10,"Ethernet Cable, 3D Printer, PS5, Router"
Trans11,"Phone, Ethernet Cable, 3D Printer, Router, Computer, TV"
Trans12,"Charger, Ethernet Cable, Monitor, PS5, 3D Printer"
Trans13,"Router, Xbox, Computer"
Trans14,"TV, 3D Printer, Phone, Router"
Trans15,"PS5, Charger, Monitor"
Trans16,"Computer, Xbox, Charger, TV, Monitor, Router"
Trans17,"Computer, TV, Ethernet Cable, PS5, Phone, Monitor"
Trans18,"Ethernet Cable, Phone, Router"
Trans19,"PS5, Charger, Monitor, Computer, Phone"
Trans20,"TV, Xbox, Computer, Monitor"
Trans21,"Charger, Computer, Monitor, Ethernet Cable, 3D Printer, Router"
Trans22,"PS5, Router, Charger, Computer"
Trans23,"Computer, Charger, Monitor, 3D Printer, Xbox, Ethernet Cable"
Trans24,"Ethernet Cable, Computer, Phone, PS5, TV"
Trans25,"Ethernet Cable, Computer, 3D Printer, Charger, Phone, Xbox"
